Flag,Number,Description,Type,Revision,AutoCreateType,,,
Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
BOM,AC-00716,K60 TCG100 NTP,Manufacture,1,Order Quantity,,,
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT1,1,1
Item,Add CC-00076,Raw Good,CC-00076,4,ea,"C2,C4,C34,C77",3,3
Item,Add CC-00062,Raw Good,CC-00062,4,ea,"C5,C6,C38,C90",4,4
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C17,C18,C96,C97,C98,C99",6,6
Item,Add CC-00067,Raw Good,CC-00067,1,ea,C21,7,7
Item,Add CC-00090,Raw Good,CC-00090,2,ea,"C22,C29",8,8
Item,Add CC-00061,Raw Good,CC-00061,3,ea,"C36,C37,C39",9,9
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,10,10
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C51,11,11
Item,Add DA-00022,Raw Good,DA-00022,2,ea,"D2,D5",12,12
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,13,13
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,14,14
Item,Add DA-00020,Raw Good,DA-00020,1,ea,D17,15,15
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,16,16
Item,Add BA-00081,Raw Good,BA-00081,1,ea,J3,17,17
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,18,18
Item,Add XA-10063,Raw Good,XA-10063,1,ea,J21,19,19
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,20,20
Item,Add LC-00049,Raw Good,LC-00049,8,ea,"L1,L2,L3,L4,L5,L6,L7,L17",22,22
Item,Add LC-00041,Raw Good,LC-00041,1,ea,L10,23,23
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,24,24
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,25,25
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",27,27
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",29,29
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,30,30
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",31,31
Item,Add RS-71002,Raw Good,RS-71002,8,ea,"R49,R51,R66,R67,R91,R92,R95,R102",32,32
Item,Add RS-61003,Raw Good,RS-61003,2,ea,"R80,R135",34,34
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",35,35
Item,Add RS-64701,Raw Good,RS-64701,2,ea,"R128,R129",39,39
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,40,40
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,42,42
Item,Add IE-00122,Raw Good,IE-00122,1,ea,U4,43,43
Item,Add IE-00105,Raw Good,IE-00105,1,ea,U15,46,46
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,47,47
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,48,48
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,49,49
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,50,50
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U35,51,51
Item,Add IT-00019,Raw Good,IT-00019,1,ea,U37,52,52
Item,Add IE-00150,Raw Good,IE-00150,1,ea,U42,53,53
Item,Add LO-00040,Raw Good,LO-00040,1,ea,Y1,55,55
Item,Add BC-00185,Raw Good,xBC-00185,1,ea,raw board,56,56
Item,Create AC-00716,Finished Good,xAC-00716,1,ea,,1,57
Item,Add CC-00072,Raw Good,CC-00072,35,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C23,C25,C26,C28,C30,C31,C33,C40,C50,C52,C53,C56,C75,C76,C79,C80,C94,C95,C100,C101,C102,C103,C105",2,2
Item,Add XA-10116,Raw Good,XA-10116,1,ea,J25,21,21
Item,Add RV-00001,Raw Good,RV-00001,3,ea,"RV2,RV3,RV4",26,26
Item,Add RS-74701,Raw Good,RS-74701,18,ea,"R4,R10,R18,R19,R20,R33,R35,R36,R37,R39,R41,R42,R46,R48,R68,R70,R71,R72",28,28
Item,Add RS-60033,Raw Good,RS-60033,3,ea,"R61,R69,R134",33,33
Item,Add RS-61002,Raw Good,RS-61002,2,ea,"R110,R111",36,36
Item,Add RS-60000,Raw Good,RS-60000,6,ea,"R105,R117,R120,R124,R126,R133",37,37
Item,Add RS-66040,Raw Good,RS-66040,3,ea,"R127,R130,R131",38,38
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,41,41
Item,Add IT-00014,Raw Good,IT-00014,5,ea,"U6,U8,U10,U32,U33",44,44
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,45,45
Item,Add IE-00152,Raw Good,IE-00152,1,ea,U43,54,54
BOM,AC-01432,NTP100 Display,Manufacture,1,Order Quantity,,,
Item,Create AC-01432,Finished Good,AC-01432,1,ea,,1,1
Item,PCB,Raw Good,EC-00182.22A,1,ea,J23-6 DIGIT DISPLAY,1,2
Item,Add BF-00117,Raw Good,BF-00117,1,ea,,2,3
Item,Add LM-00024,Raw Good,LM-00024,1,ea,,3,4
BOM,AC-00719,K60 TCG100 NTP+HSO,Manufacture,1,Order Quantity,,,
Item,Add AC-00716,Raw Good,xAC-00716,1,ea,base build,1,1
Item,Create AC-00719,Finished Good,xAC-00719,1,ea,,1,2
Item,Add AC-00101,Raw Good,xAC-00101,1,ea,5V HSO option,2,3
BOM,xAC-00696,K60 Digital Display Control v1.1 (LTC-VITC-NTP),Manufacture,1,Order Quantity,,,
Item,Add CC-00062,Raw Good,CC-00062,4,ea,"C5,C24,C30,C38",4,4
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT1,1,1
Item,Add CC-00072,Raw Good,CC-00072,43,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C22,C23,C25,C28,C29,C31,C32,C33,C40,C41,C42,C43,C46,C49,C50,C53,C54,C55,C56,C58,C59,C60,C62,C70,C71,C72,C73,C74,C81,C88,C89",2,2
Item,Add CC-00076,Raw Good,CC-00076,3,ea,"C2,C4,C34",3,3
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,3,ea,"C17,C18,C90",6,6
Item,Add CC-00067,Raw Good,CC-00067,4,ea,"C21,C45,C48,C57",7,7
Item,Add CC-00061,Raw Good,CC-00061,3,ea,"C36,C37,C39",8,8
Item,Add CC-00097,Raw Good,CC-00097,3,ea,"C44,C78,C87",9,9
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C51,10,10
Item,Add CC-00090,Raw Good,CC-00090,1,ea,C52,11,11
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C64,12,12
Item,Add CC-00081,Raw Good,CC-00081,2,ea,"C82,C83",13,13
Item,Add CC-00101,Raw Good,CC-00101,3,ea,"C84,C85,C86",14,14
Item,Add DA-00022,Raw Good,DA-00022,1,ea,D2,15,15
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,17,17
Item,Add BC-00389,Raw Good,xBC-00389.11C,1,ea,raw board,18,18
Item,Add BA-00081,Raw Good,BA-00081,1,ea,J3,20,20
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,21,21
Item,Add BA-00030,Raw Good,BA-00030,1,ea,J5,22,22
Item,Add XA-10063,Raw Good,XA-10063,1,ea,J8,23,23
Item,Add XA-10116,Raw Good,XA-10116,1,ea,J9,24,24
Item,Add LC-00049,Raw Good,LC-00049,8,ea,"L1,L2,L3,L4,L5,L6,L7,L8",25,25
Item,Add LC-00041,Raw Good,LC-00041,2,ea,"L10,L16",26,26
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,27,27
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,28,28
Item,Add RV-00001,Raw Good,RV-00001,1,ea,RV1,29,29
Item,Add RS-74701,Raw Good,RS-74701,21,ea,"R4,R10,R24,R33,R35,R36,R37,R39,R41,R42,R46,R47,R57,R68,R70,R71,R72,R77,R78,R80,R89",30,30
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",31,31
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,32,32
Item,Add RS-60499,Raw Good,RS-60499,5,ea,"R12,R13,R14,R15,R96",33,33
Item,Add RS-61001,Raw Good,RS-61001,1,ea,R26,35,35
Item,Add RS-64021,Raw Good,RS-64021,2,ea,"R27,R29",36,36
Item,Add RS-68061,Raw Good,RS-68061,1,ea,R28,37,37
Item,Add RS-66202,Raw Good,RS-66202,2,ea,"R30,R54",38,38
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R43,R44",39,39
Item,Add RS-64752,Raw Good,RS-64752,1,ea,R48,40,40
Item,Add RS-61002,Raw Good,RS-61002,3,ea,R76,41,41
Item,Add RS-62552,Raw Good,RS-62552,4,ea,"R53,R55,R56,R62,R63,R64",42,42
Item,Add RS-65102,Raw Good,RS-65102,1,ea,R59,43,43
Item,Add RS-61003,Raw Good,RS-61003,2,ea,"R73,R85",44,44
Item,Add RS-62201,Raw Good,RS-62201,1,ea,R75,45,45
Item,Add RS-60249,Raw Good,RS-60249,1,ea,R94,46,46
Item,Add SP-00019,Raw Good,SP-00019,1,ea,SW1,47,47
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,48,48
Item,Add IE-00119,Raw Good,IE-00119,1,ea,U2,49,49
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,50,50
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U13,53,53
Item,Add IE-00105,Raw Good,IE-00105,1,ea,U15,54,54
Item,Add IF-00028,Raw Good,IF-00028,1,ea,U16,55,55
Item,Add IE-00114,Raw Good,IE-00114,1,ea,U17,56,56
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U18,57,57
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,58,58
Item,Add DT-00006,Raw Good,DT-00006,1,ea,U20,59,59
Item,Add IT-00017,Raw Good,IT-00017,1,ea,U21,60,60
Item,Add IE-00126,Raw Good,IE-00126,1,ea,U22,61,61
Item,Add IE-00138,Raw Good,IE-00138,1,ea,U24,62,62
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U25,63,63
Item,Add IH-00001,Raw Good,IH-00001,1,ea,U28,64,64
Item,Add LO-00040,Raw Good,LO-00040,1,ea,Y1,65,65
Item,Add LX-00014,Raw Good,LX-00014,1,ea,Y2,66,66
Item,Create AC-00696,Finished Good,xAC-00696,1,ea,,1,67
Item,Add DA-00020,Raw Good,DA-00020,1,ea,D3,16,16
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,19,19
Item,Add RS-71002,Raw Good,RS-71002,13,ea,"R25,R34,R38,R45,R49,R50,R51,R66,R67,R79,R83,R97,R103",34,34
Item,Add IT-00014,Raw Good,IT-00014,6,ea,"U6,U8,U9,U10,U11,U14",51,51
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,52,52
BOM,AC-00712-AFN,K60 NTP100-AFN-HS,Manufacture,1,Order Quantity,,,
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT1,1,1
Item,Add CC-00072,Raw Good,CC-00072,27,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C25,C26,C28,C30,C31,C33,C40,C50,C53,C56,C79,C94,C100,C101,C105",2,2
Item,Add CC-00076,Raw Good,CC-00076,4,ea,"C2,C4,C34,C77",3,3
Item,Add CC-00062,Raw Good,CC-00062,3,ea,"C5,C6,C38",4,4
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C17,C18,C96,C97,C98,C99",6,6
Item,Add CC-00067,Raw Good,CC-00067,1,ea,C21,7,7
Item,Add CC-00090,Raw Good,CC-00090,1,ea,C22,8,8
Item,Add CC-00061,Raw Good,CC-00061,3,ea,"C36,C37,C39",9,9
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,10,10
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C51,11,11
Item,Add DA-00022,Raw Good,DA-00022,2,ea,"D2,D5",12,12
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,13,13
Item,Add DL-00029,Raw Good,DL-00029,1,ea,D15,14,14
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,15,15
Item,Add DA-00020,Raw Good,DA-00020,1,ea,D17,16,16
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,17,17
Item,Add BA-00081,Raw Good,BA-00081,1,ea,J3,18,18
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,19,19
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,20,20
Item,Add XA-10116,Raw Good,XA-10116,1,ea,J25,21,21
Item,Add LC-00049,Raw Good,LC-00049,8,ea,"L1,L2,L3,L4,L5,L6,L7,L17",22,22
Item,Add LC-00041,Raw Good,LC-00041,1,ea,L10,23,23
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,24,24
Item,Add XA-10063,Raw Good,XA-10063,1,ea,P1,25,25
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",26,26
Item,Add RS-74701,Raw Good,RS-74701,17,ea,"R4,R10,R18,R19,R20,R33,R35,R39,R41,R42,R46,R48,R65,R68,R70,R71,R72",27,27
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",28,28
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,29,29
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",30,30
Item,Add RS-71002,Raw Good,RS-71002,7,ea,"R49,R51,R66,R67,R91,R92,R95",31,31
Item,Add RS-61003,Raw Good,RS-61003,2,ea,"R80,R135",32,32
Item,Add RS-60000,Raw Good,RS-60000,1,ea,R105,33,33
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",34,34
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,35,35
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,36,36
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,37,37
Item,Add IT-00014,Raw Good,IT-00014,4,ea,"U6,U8,U10,U36",38,38
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,39,39
Item,Add IE-00105,Raw Good,IE-00105,1,ea,U15,40,40
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,41,41
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,42,42
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,43,43
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,44,44
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U35,45,45
Item,Add IT-00019,Raw Good,IT-00019,1,ea,U37,46,46
Item,Add IF-00035,Raw Good,IF-00035,1,ea,U39,47,47
Item,Add LO-00041,Raw Good,LO-00041,1,ea,X3,48,48
Item,Add LO-00040,Raw Good,LO-00040,1,ea,Y1,49,49
Item,Add BC-00185,Raw Good,xBC-00185,1,ea,raw board,50,50
Item,Create AC-00712-AFN,Finished Good,xAC-00712-AFN,1,ea,,51,51
Item,Add RS-44702,Raw Good,RS-44702,1,ea,"**AFTERWAVE MODIFICATION**
1) hand-solder RS-44702 between thruhole pads 1 & 2 of J28, top-side of board.
2) connect 30AWG wire from pin 2 of J28 to pin 1 of J27, bottom-side of board.
3) connect 30AWG wire from pin 3 of J27 to pin 3 of J11, bottom-side of board.",51,52
BOM,AC-00711-GNSS,K60 NTP100 GNSS+HSO,Manufacture,1,Order Quantity,,,
Item,Add AC-00708-GNSS,Raw Good,xAC-00708-GNSS,1,ea,base build,1,1
Item,Create AC-00711-GNSS,Finished Good,xAC-00711-GNSS,1,ea,,1,2
Item,Add AC-00101,Raw Good,xAC-00101,1,ea,5V HSO option,2,3
BOM,AC-00708-GNSS,K60 NTP100 GNSS,Manufacture,1,Order Quantity,,,
Item,Add PB-00011,Raw Good,PB-00011,2,ea,"BT1,BT2",1,1
Item,Add CC-00076,Raw Good,CC-00076,4,ea,"C2,C4,C34,C77",3,3
