Flag,Number,Description,Type,Revision,AutoCreateType,,,
Item,Add CC-00062,Raw Good,CC-00062,2,ea,"C5,C6",4,4
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C17,C18,C96,C97,C98,C99",6,6
Item,Add CC-00067,Raw Good,CC-00067,1,ea,C21,7,7
Item,Add CC-00061,Raw Good,CC-00061,1,ea,C62,11,11
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,9,9
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C51,10,10
Item,Add CC-00123,Raw Good,CC-00123,1,ea,C68,12,12
Item,Add DA-00022,Raw Good,DA-00022,3,ea,"D2,D4,D5",13,13
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,14,14
Item,Add DA-00012,Raw Good,DA-00012,1,ea,D13,15,15
Item,Add DL-00029,Raw Good,DL-00029,1,ea,D15,16,16
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,17,17
Item,Add DA-00020,Raw Good,DA-00020,1,ea,D17,18,18
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,21,21
Item,Add BA-00002,Raw Good,BA-00002,1,ea,J11,24,24
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,25,25
Item,Add LC-00049,Raw Good,LC-00049,9,ea,"L1,L2,L3,L4,L5,L6,L7,L8,L17",26,26
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,27,27
Item,Add LC-00050,Raw Good,LC-00050,1,ea,L15,28,28
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,29,29
Item,Add XD-09M10,Raw Good,XD-09M10,1,ea,P2,30,30
Item,Add ET-00063,Raw Good,ET-00063,1,ea,Q1,31,31
Item,Add ET-00038,Raw Good,ET-00038,2,ea,"Q2,Q3",32,32
Item,Add ET-00060,Raw Good,ET-00060,1,ea,Q4,33,33
Item,Add ET-00062,Raw Good,ET-00062,1,ea,Q5,34,34
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",36,36
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",38,38
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,39,39
Item,Add RS-60100,Raw Good,RS-60100,1,ea,R31,40,40
Item,Add RS-61002,Raw Good,RS-61002,2,ea,"R32,R45",41,41
Item,Add RS-71002,Raw Good,RS-71002,10,ea,"R49,R51,R66,R67,R91,R92,R95,R98,R100,R102",43,43
Item,Add RS-61003,Raw Good,RS-61003,3,ea,"R80,R90,R135",44,44
Item,Add RS-63091,Raw Good,RS-63091,1,ea,R84,45,45
Item,Add RS-65620,Raw Good,RS-65620,1,ea,R87,47,47
Item,Add RS-61001,Raw Good,RS-61001,1,ea,R88,48,48
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",49,49
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,52,52
Item,Add BC-00185,Raw Good,xBC-00185,1,ea,raw board,67,67
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,54,54
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,56,56
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,57,57
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,58,58
Item,Add AD-00019,Raw Good,AD-00019,1,ea,U24,59,59
Item,Add IY-00028,Raw Good,IY-00028,1,ea,U26,60,60
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,61,61
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,62,62
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U35,63,63
Item,Add IT-00019,Raw Good,IT-00019,1,ea,U37,64,64
Item,Add LO-00040,Raw Good,LO-00040,1,ea,Y1,66,66
Item,Create AC-00708-GNSS,Finished Good,xAC-00708-GNSS,1,ea,,1,68
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",42,42
Item,Add CC-00090,Raw Good,CC-00090,1,ea,C22,8,8
Item,Add CC-00072,Raw Good,CC-00072,34,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C25,C26,C28,C30,C31,C33,C50,C53,C56,C63,C64,C65,C66,C67,C75,C76,C79,C80,C94,C100,C101,C105",2,2
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,19,19
Item,Add BA-00081,Raw Good,BA-00081,2,ea,"J3,J5",20,20
Item,Add XA-10014,Raw Good,XA-10014,3,ea,"J5b,J5a,J11",22,22
Item,Add XA-10122,Raw Good,XA-10122,1,ea,J6,23,23
Item,Add RV-00001,Raw Good,RV-00001,3,ea,"RV2,RV5,RV6",35,35
Item,Add RS-74701,Raw Good,RS-74701,19,ea,"R4,R10,R18,R19,R20,R33,R35,R36,R37,R39,R41,R42,R44,R46,R48,R68,R70,R71,R72",37,37
Item,Add RS-64701,Raw Good,RS-64701,2,ea,"R85,R86",46,46
Item,Add RS-60000,Raw Good,RS-60000,4,ea,"R105,R116,R132,R141",50,50
Item,Add RS-60033,Raw Good,RS-60033,1,ea,R134,51,51
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,53,53
Item,Add IT-00014,Raw Good,IT-00014,5,ea,"U6,U8,U10,U32,U33",55,55
Item,Add IE-00150,Raw Good,IE-00150,1,ea,U42,65,65
BOM,AC-00005,K6x Digital Display Control (NTP-TC),Manufacture,1,Never,,,
Item,Create AC-00005,Finished Good,AC-00005,1,ea,,1,1
Item,BASE,Raw Good,EC-00697,1,ea,,1,2
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,2,3
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,3,4
Item,Add XA-10116,Raw Good,XA-10116,1,ea,J9,4,5
Item,Add XA-10063,Raw Good,XA-10063,1,ea,J8,5,6
Item,Add RS-60000,Raw Good,RS-60000,1,ea,R101,6,7
BOM,AC-00181,K60 NTP100 TC,Manufacture,1,Order Quantity,,,
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C17,C18,C96,C97,C98,C99",6,6
Item,Add CC-00067,Raw Good,CC-00067,4,ea,"C21,C45,C48,C57",7,7
Item,Add CC-00097,Raw Good,CC-00097,1,ea,C44,10,10
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,11,11
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C51,12,12
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,14,14
Item,Add DL-00029,Raw Good,DL-00029,1,ea,D15,15,15
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,16,16
Item,Add BA-00081,Raw Good,BA-00081,1,ea,J3,19,19
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,20,20
Item,Add LC-00049,Raw Good,LC-00049,8,ea,"L1,L2,L3,L4,L5,L6,L7,L17",24,24
Item,Add LC-00041,Raw Good,LC-00041,1,ea,L10,25,25
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,26,26
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,27,27
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",29,29
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",31,31
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,32,32
Item,Add RS-64021,Raw Good,RS-64021,2,ea,"R27,R29",34,34
Item,Add RS-68061,Raw Good,RS-68061,1,ea,R28,35,35
Item,Add RS-66202,Raw Good,RS-66202,2,ea,"R30,R54",36,36
Item,Add RS-62552,Raw Good,RS-62552,4,ea,"R55,R56,R62,R63",40,40
Item,Add RS-65102,Raw Good,RS-65102,1,ea,R59,41,41
Item,Add RS-62201,Raw Good,RS-62201,1,ea,R75,42,42
Item,Add RS-61003,Raw Good,RS-61003,2,ea,"R80,R135",43,43
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",44,44
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,49,49
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,51,51
Item,Add IE-00105,Raw Good,IE-00105,1,ea,U15,52,52
Item,Add IF-00028,Raw Good,IF-00028,1,ea,U16,53,53
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,55,55
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,56,56
Item,Add DT-00006,Raw Good,DT-00006,1,ea,U20,57,57
Item,Add IT-00017,Raw Good,IT-00017,1,ea,U21,58,58
Item,Add IE-00126,Raw Good,IE-00126,1,ea,U22,59,59
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,60,60
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,61,61
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U35,62,62
Item,Add LO-00040,Raw Good,LO-00040,1,ea,Y1,65,65
Item,Create AC-00181,Finished Good,xAC-00181,1,ea,,1,66
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT1,1,1
Item,Add CC-00076,Raw Good,CC-00076,4,ea,"C2,C4,C34,C77",3,3
Item,Add CC-00061,Raw Good,CC-00061,3,ea,"C36,C37,C39",9,9
Item,Add DA-00022,Raw Good,DA-00022,2,ea,"D2,D5",13,13
Item,Add RS-61001,Raw Good,RS-61001,1,ea,R26,33,33
Item,Add RS-61002,Raw Good,RS-61002,3,ea,"R53,R64,R103",39,39
Item,Add RS-71002,Raw Good,RS-71002,8,ea,"R49,R51,R66,R67,R91,R92,R95,R102",38,38
Item,Add IT-00019,Raw Good,IT-00019,1,ea,U37,63,63
Item,Add CC-00062,Raw Good,CC-00062,3,ea,"C5,C6,C38",4,4
Item,Add DA-00020,Raw Good,DA-00020,1,ea,D17,17,17
Item,Add XA-10063,Raw Good,XA-10063,1,ea,J21,21,21
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,22,22
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,47,47
Item,Add IE-00114,Raw Good,IE-00114,1,ea,U17,54,54
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",37,37
Item,Add CC-00090,Raw Good,CC-00090,1,ea,C22,8,8
Item,Add CC-00072,Raw Good,CC-00072,39,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C25,C26,C28,C30,C31,C33,C40,C41,C42,C43,C46,C50,C53,C54,C55,C56,C58,C59,C60,C75,C76,C79,C80,C94,C100,C101,C105",2,2
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,18,18
Item,Add XA-10116,Raw Good,XA-10116,1,ea,J25,23,23
Item,Add RV-00001,Raw Good,RV-00001,1,ea,RV2,28,28
Item,Add RS-74701,Raw Good,RS-74701,19,ea,"R4,R10,R18,R19,R20,R33,R35,R36,R37,R39,R41,R42,R46,R48,R68,R70,R71,R72,R77",30,30
Item,Add RS-60000,Raw Good,RS-60000,5,ea,"R105,R119,R124,R136,R137",45,45
Item,Add RS-60033,Raw Good,RS-60033,1,ea,R134,46,46
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,48,48
Item,Add IT-00014,Raw Good,IT-00014,5,ea,"U6,U8,U10,U32,U33",50,50
Item,Add IE-00150,Raw Good,IE-00150,1,ea,U42,64,64
Item,Add xBC-00185,Raw Good,xBC-00185,1,ea,,66,67
BOM,AC-00711,K60 NTP100 GPS+HSO,Manufacture,1,Order Quantity,,,
Item,Add AC-00708,Raw Good,xAC-00708,1,ea,base build,1,1
Item,Create AC-00711,Finished Good,xAC-00711,1,ea,,1,2
Item,Add AC-00101,Raw Good,xAC-00101,1,ea,5V HSO option,2,3
BOM,AC-00712,K60 NTP100 OSC+HSO,Manufacture,1,Order Quantity,,,
Item,Add AC-00709,Raw Good,xAC-00709,1,ea,base build,1,1
Item,Create AC-00712,Finished Good,xAC-00712,1,ea,,1,2
Item,Add AC-00101,Raw Good,xAC-00101,1,ea,5V HSO option,2,3
BOM,AC-00709,K60 NTP100 OSC,Manufacture,1,Order Quantity,,,
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT1,1,1
Item,Add CC-00076,Raw Good,CC-00076,4,ea,"C2,C4,C34,C77",3,3
Item,Add CC-00062,Raw Good,CC-00062,2,ea,"C5,C6",4,4
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C17,C18,C96,C97,C98,C99",6,6
Item,Add CC-00067,Raw Good,CC-00067,1,ea,C21,7,7
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,9,9
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C51,10,10
Item,Add DA-00022,Raw Good,DA-00022,2,ea,"D2,D5",12,12
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,13,13
Item,Add DL-00029,Raw Good,DL-00029,1,ea,D15,14,14
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,15,15
Item,Add DA-00020,Raw Good,DA-00020,1,ea,D17,16,16
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,19,19
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,21,21
Item,Add LC-00049,Raw Good,LC-00049,8,ea,"L1,L2,L3,L4,L5,L6,L7,L17",22,22
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,23,23
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,24,24
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",27,27
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",29,29
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,30,30
Item,Add RS-71002,Raw Good,RS-71002,8,ea,"R49,R51,R66,R67,R91,R92,R95,R102",32,32
Item,Add RS-61003,Raw Good,RS-61003,2,ea,"R80,R135",33,33
Item,Add RS-60000,Raw Good,RS-60000,1,ea,R105,34,34
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",35,35
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,37,37
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,39,39
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,41,41
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,42,42
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,43,43
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,45,45
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,46,46
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U35,47,47
Item,Add IT-00019,Raw Good,IT-00019,1,ea,U37,48,48
Item,Add LO-00040,Raw Good,LO-00040,1,ea,Y1,50,50
Item,Add BC-00185,Raw Good,xBC-00185,1,ea,raw board,51,51
Item,Create AC-00709,Finished Good,xAC-00709,1,ea,,1,52
Item,Add XD-09M10,Raw Good,XD-09M10,1,ea,P2,25,25
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",31,31
Item,Add CC-00090,Raw Good,CC-00090,1,ea,C22,8,8
Item,Add IY-00028,Raw Good,IY-00028,1,ea,U26,44,44
Item,Add CC-00061,Raw Good,CC-00061,1,ea,C62,11,11
Item,Add CC-00072,Raw Good,CC-00072,33,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C25,C26,C28,C30,C31,C33,C50,C53,C56,C64,C65,C66,C67,C75,C76,C79,C80,C94,C100,C101,C105",2,2
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,17,17
Item,Add BA-00081,Raw Good,BA-00081,2,ea,"J3,J5",18,18
Item,Add XA-10014,Raw Good,XA-10014,2,ea,"J5b,J5a",20,20
Item,Add RV-00001,Raw Good,RV-00001,3,ea,"RV2,RV5,RV6",26,26
Item,Add RS-74701,Raw Good,RS-74701,19,ea,"R4,R10,R18,R19,R20,R33,R35,R36,R37,R39,R41,R42,R44,R46,R48,R68,R70,R71,R72",28,28
Item,Add RS-60033,Raw Good,RS-60033,1,ea,R134,36,36
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,38,38
Item,Add IT-00014,Raw Good,IT-00014,5,ea,"U6,U8,U10,U32,U33",40,40
Item,Add IE-00150,Raw Good,IE-00150,1,ea,U42,49,49
BOM,AC-00710,K60 NTP100 TC+HSO,Manufacture,1,Order Quantity,,,
Item,Add AC-00181,Raw Good,xAC-00181,1,ea,base build,1,1
Item,Create AC-00710,Finished Good,xAC-00710,1,ea,,1,2
Item,Add AC-00101,Raw Good,xAC-00101,1,ea,5V HSO option,2,3
